 Mineral Name   ,   Locality Count   ,   mindat ID 1   ,   Locality Longname 1   ,   Max Age 1   ,   Min Age 1   ,   mindat ID 2   ,   Locality Longname 2   ,   Max Age 2   ,   Min Age 2   
Clairite,8,,,,,,,,
Claraite,40,,,,,,,,
Claringbullite,13,,,,,,,,
Clarkeite,18,,,,,,,,
Claudetite,35,,,,,,,,
Clausthalite,281,,,,,,,,
Clearcreekite,1,3529,"Clear Creek Claim (Clear Creek Mine), Goat Mountain, New Idria District, Diablo Range, San Benito Co., California, USA",5.3,0,,,,
Clerite,3,,,,,,,,
Cleusonite,14,,,,,,,,
Cliffordite,4,,,,,,,,
Clinoatacamite,43,,,,,,,,
Clinobehoite,4,,,,,,,,
Clinobisvanite,36,,,,,,,,
Clinocervantite,2,27607,"Tafone Mine, Manciano, Grosseto Province, Tuscany, Italy",,,2164,"Le Cetine Di Cotorniano Mine (Le Cetine Mine; Cetine Mine; Rosia), Chiusdino, Siena Province, Tuscany, Italy",,
Clinochlore,1756,,,,,,,,
Clinoclase,127,,,,,,,,
Clinoenstatite,94,,,,,,,,
Clinofergusonite-(Ce),3,,,,,,,,
Clinofergusonite-(Nd),1,134740,"West Mine, Bayan Obo Deposit (Bayun-Obo Deposit; Baiyunebo Deposit), Bayan Obo, Bayan Obo Mining District, Baotou League (Baotou Prefecture), Inner Mongolia, China",2070,544,,,,
Clinofergusonite-(Y),17,,,,,,,,
Clino-ferri-holmquistite,1,13543,"Arroyo De La Yedra, Manzanares El Real, Community Of Madrid, Spain",307,277,,,,
Clino-ferro-ferri-holmquistite,1,13543,"Arroyo De La Yedra, Manzanares El Real, Community Of Madrid, Spain",307,277,,,,
Clinoferrosilite,18,,,,,,,,
Clinohedrite,6,,,,,,,,
Clinohumite,236,,,,,,,,
Clinojimthompsonite,4,,,,,,,,
Clinokurchatovite,2,19127,"Sayak 4 Deposit (Sayak IV Deposit), Sayak Cu Ore Field, Balkhash, Karaganda Region, Kazakhstan",337,245,18518,"Nalednoe B Oreoccurrence, Titovskoe B Deposit, Tas-Khayakhtakh Range, Dogdo River Basin, Polar Yakutia, Sakha Republic (Yakutia), Russia",,
Clinometaborite,1,5552,"La Fossa Crater, Vulcano Island, Lipari, Eolie Islands (Aeolian Islands), Messina Province, Sicily, Italy",,,,,,
Clino-oscarkempffite,1,232756,"264 Level, Colorada Vein, Ánimas Mine, Chocaya-Animas (Animas-Chocaya), Atocha-Quechisla Mining District, Sud Chichas Province, Potosí, Bolivia",,,,,,
Clinophosinaite,3,,,,,,,,
Clinoptilolite-Ca,33,,,,,,,,
Clinoptilolite-K,13,,,,,,,,
Clinoptilolite-Na,24,,,,,,,,
Clinosafflorite,21,,,,,,,,
Clino-suenoite,57,,,,,,,,
Clinosulphur,5,,,,,,,,
Clinotobermorite,6,,,,,,,,
Clinoungemachite,1,641,"Chuquicamata Mine, Chuquicamata District, Calama, El Loa Province, Antofagasta, Chile",35.07,31,,,,
Clinozoisite,1025,,,,,,,,
Clintonite,86,,,,,,,,
Cloncurryite,1,134,"Great Australia Mine, Cloncurry, Cloncurry Shire, Queensland, Australia",1575,1490,,,,
Coalingite,27,,,,,,,,
Cobaltarthurite,5,,,,,,,,
Cobaltaustinite,11,,,,,,,,
Cobaltite,966,,,,,,,,
Cobaltkieserite,2,158151,"Jáchymov Ore District, Karlovy Vary Region, Czech Republic",,,3184,"Bastnäs Mines, Riddarhyttan, Skinnskatteberg, Västmanland County, Sweden",1910,1850
Cobaltkoritnigite,32,,,,,,,,
Cobaltlotharmeyerite,10,,,,,,,,
Cobaltneustädtelite,6,,,,,,,,
Cobaltoblödite,1,38665,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA",252,0,,,,
Cobaltomenite,11,,,,,,,,
Cobaltpentlandite,82,,,,,,,,
Cobalttsumcorite,2,9956,"Roter Berg District, Erzgebirge District, Saxony, Germany",343,100,7033,"Rappold Mine, Neustädtel, Schneeberg, Erzgebirge District, Saxony, Germany",343,100
Cobaltzippeite,3,,,,,,,,
Coccinite,3,,,,,,,,
Cochromite,4,,,,,,,,
Coconinoite,9,,,,,,,,
Coesite,77,,,,,,,,
Coffinite,566,,,,,,,,
Cohenite,77,,,,,,,,
Coiraite,1,248963,"Veta Norte Vein, Oploca Vein System (Oploca Mine), Pirquitas Ag-Sn Deposit, Rinconada Department, Jujuy Province, Argentina",,,,,,
Coldwellite,2,263084,"Marathon Deposit, Coldwell Complex, Thunder Bay District, Ontario, Canada",1109,1107,310578,"W Horizon, Coldwell Complex, Thunder Bay District, Ontario, Canada",1109,1107
Colemanite,144,,,,,,,,
Colimaite,1,175686,"Colima Volcano (Volcan De Fuego; Volcan De Colima), Colima Volcanic Complex, Jalisco, Mexico",3,1,,,,
Colinowensite,1,3071,"Wessels Mine, Hotazel, Kalahari Manganese Field, Northern Cape, South Africa",2400,1010,,,,
Collinsite,38,,,,,,,,
Coloradoite,169,,,,,,,,
Colquiriite,3,,,,,,,,
Columbite-(Fe),518,,,,,,,,
Columbite-(Mg),8,,,,,,,,
Columbite-(Mn),289,,,,,,,,
Colusite,110,,,,,,,,
Comancheite,2,14873,"Little 38 Mine, Terlingua District, Brewster Co., Texas, USA",,,4128,"Mariposa Mine (California Mountain Mine), Terlingua District, Brewster Co., Texas, USA",38,32
Combeite,3,,,,,,,,
Comblainite,5,,,,,,,,
Compreignacite,27,,,,,,,,
Congolite,6,,,,,,,,
Conichalcite,363,,,,,,,,
Connellite,295,,,,,,,,
Cookeite,181,,,,,,,,
Coombsite,3,,,,,,,,
Cooperite,124,,,,,,,,
Coparsite,1,2656,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Copiapite,382,,,,,,,,
Copper,3846,,,,,,,,
Coquandite,10,,,,,,,,
Coquimbite,136,,,,,,,,
Coralloite,4,,,,,,,,
Corderoite,16,,,,,,,,
Cordierite,1008,,,,,,,,
Cordylite-(Ce),15,,,,,,,,
Cordylite-(La),2,25011,"Cerro Boggiani, Alto Paraguay Department, Paraguay",,,68872,"Ust'-Biraya, Biraya Fe-REE Ore Occurrence, Biraya And Bya Rivers Confluence Area (Chara Basin), Vitim Plateau, Irkutsk Oblast, Russia",485,300
Corkite,151,,,,,,,,
Cornetite,26,,,,,,,,
Cornubite,109,,,,,,,,
Cornwallite,175,,,,,,,,
Coronadite,227,,,,,,,,
Correianevesite,2,69153,"Jocão Pegmatite (Gypsy Mine; Cigana Claim), Conselheiro Pena, Minas Gerais, Brazil",630,480,3802,"Berry-Havey Quarry (Havey Quarry; Berry Quarry), Poland, Androscoggin Co., Maine, USA",383,272
Corrensite,49,,,,,,,,
Cortesognoite,1,2089,"Molinello Mine, Ne, Graveglia Valley, Genova Province, Liguria, Italy",100,100,,,,
Corundum,1797,,,,,,,,
Corvusite,79,,,,,,,,
Cosalite,344,,,,,,,,
