,id,mineral,min_age,max_age,locality_longname,rarity_group,is_outlier
148,934,Cerussite,2657.0,2860.0,"Kearsarge Mine (Kearsarge Group; Cliff Mine), Kearsarge Peak, Kearsarge District [1], Inyo Co., California, USA",Ubiquitous,True
150,934,Cerussite,2858.0,2926.0,"Mount Sholl Mine, Karratha, Roebourne Shire, Western Australia, Australia",Ubiquitous,True
151,934,Cerussite,3040.0,3640.0,"Barberton, Ehlanzeni District, Mpumalanga, South Africa",Ubiquitous,True
154,1304,Dolomite,0.0,2500.0,"Paratoo Copper Mine, Yunta, Olary Province, South Australia, Australia",Ubiquitous,True
155,1304,Dolomite,0.0,2709.0,"132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia",Ubiquitous,True
156,1304,Dolomite,0.0,4000.0,"Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
157,1304,Dolomite,0.0,4700.0,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",Ubiquitous,True
158,1304,Dolomite,541.0,2500.0,"Jingemia Cave, Moora Shire, Western Australia, Australia",Ubiquitous,True
159,1304,Dolomite,541.0,2500.0,"Yinachang Fe-Cu-REE Deposit, Wuding Co., Chuxiong, Yunnan, China",Ubiquitous,True
160,1304,Dolomite,541.0,2500.0,"Outokumpu Cu-Co-Zn-Ni-Ag-Au Ore Field, North Karelia, Finland",Ubiquitous,True
161,1304,Dolomite,541.0,2500.0,"PyhÃ¤salmi Mine, PyhÃ¤jÃ¤rvi, North Ostrobothnia, Finland",Ubiquitous,True
162,1304,Dolomite,541.0,2500.0,"Vihanti Deposit (Lampinsaari Deposit; Isoaho Deposit), Raahe, North Ostrobothnia, Finland",Ubiquitous,True
163,1304,Dolomite,541.0,2500.0,"MetsÃ¤monttu Mine, Kisko, Salo, Southwest Finland, Finland",Ubiquitous,True
164,1304,Dolomite,541.0,2500.0,"Bidjovagge Gold-copper Deposit, Kautokeino, Finnmark, Norway",Ubiquitous,True
165,1304,Dolomite,541.0,2500.0,"Al Masane Mine (Al Massane Mine), Mintaqah Najran, Saudi Arabia",Ubiquitous,True
166,1304,Dolomite,541.0,2500.0,"Glenover Carbonatite, Thabazimbi, Waterberg District, Limpopo, South Africa",Ubiquitous,True
167,1304,Dolomite,541.0,2500.0,"Boliden Mine (SkellefteÃ¥ Mine), Boliden, Skellefte Mining District, SkellefteÃ¥, VÃ¤sterbotten County, Sweden",Ubiquitous,True
168,1304,Dolomite,541.0,2500.0,"RenstrÃ¶m Mine (Renstrom Mine), Boliden, Skellefte Mining District, SkellefteÃ¥, VÃ¤sterbotten County, Sweden",Ubiquitous,True
