id	mineral	min_age	max_age	locality_longname	rarity_group
216	Ancylite-(Ce)	219.0	267.3	Lugeengol REE Deposit (Lugin Gol; Lugiin Gol; Lugin Gel), HÃ¶vsgÃ¶l, Dornogovi Aimag, Mongolia	Ubiquitous
216	Ancylite-(Ce)	220.0	392.0	Ice River Alkaline Complex, Golden Mining Division, British Columbia, Canada	Ubiquitous
216	Ancylite-(Ce)	251.9	358.9	Puiva Mount (Pouyva), Saranpaul, Khanty-Mansi Okrug (Khanty Mansiysk), Tyumen Oblast, Russia	Ubiquitous
216	Ancylite-(Ce)	294.0	294.0	Tuften (Tuften 1 Quarry; Tuften 2 Quarry), Tvedalen, Larvik, Vestfold, Norway	Ubiquitous
216	Ancylite-(Ce)	300.0	485.0	Ust'-Biraya, Biraya Fe-REE Ore Occurrence, Biraya And Bya Rivers Confluence Area (Chara Basin), Vitim Plateau, Irkutsk Oblast, Russia	Ubiquitous
216	Ancylite-(Ce)	325.0	390.0	Burpala Alkaline Massif, Maigunda River, Mama River Basin, Buryatia, Russia	Ubiquitous
216	Ancylite-(Ce)	327.0	361.0	Aley Deposit (Aley Creek Carbonatite Complex), Williston Lake, Omenica Mining Division, British Columbia, Canada	Ubiquitous
216	Ancylite-(Ce)	360.9	399.0	Afrikanda Complex, Murmansk Oblast, Russia	Ubiquitous
216	Ancylite-(Ce)	370.0	415.0	Sebl'yavr Massif, Murmansk Oblast, Russia	Ubiquitous
216	Ancylite-(Ce)	370.7	500.0	Kovdor Massif, Murmansk Oblast, Russia	Ubiquitous
216	Ancylite-(Ce)	472.0	506.0	Dodo Mine, Saranpaul, Khanty-Mansi Okrug (Khanty Mansiysk), Tyumen Oblast, Russia	Ubiquitous
6800	Ancylite-(La)	300.0	485.0	Ust'-Biraya, Biraya Fe-REE Ore Occurrence, Biraya And Bya Rivers Confluence Area (Chara Basin), Vitim Plateau, Irkutsk Oblast, Russia	Transitional
6800	Ancylite-(La)	359.0	418.0	Lovozero Massif, Murmansk Oblast, Russia	Transitional
219	Andersonite	0.0	0.0	Eureka Mine, Castell-estaÃ³, La Torre De Cabdella (La Torre De Capdella), La Vall Fosca, El Pallars JussÃ , Lleida (LÃ©rida), Catalonia, Spain	Transitional
219	Andersonite	0.0	0.0	Markey Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA	Transitional
219	Andersonite	0.0	252.0	Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA	Transitional
219	Andersonite	0.7	72.0	Tono Mine (Tohno Mine), Tsukiyoshi Uranium Ore Deposits, Mizunami City, Gifu, Japan	Transitional
219	Andersonite	2.58	66.0	Apex Mine (Rundberg Mine; Early Day Mine), Reese River District, Lander Co., Nevada, USA	Transitional
219	Andersonite	29.0	29.0	Huemul Mine, Pampa Amarilla District, MalargÃ¼e Department, Mendoza Province, Argentina	Transitional
219	Andersonite	45.0	399.0	Geevor Mine, Pendeen, St Just, Cornwall, England, UK	Transitional
219	Andersonite	51.0	57.0	Snyder Mine, Cane Creek, San Juan Co., Utah, USA	Transitional
219	Andersonite	73.0	80.93	BÄiÅ£a Mining District (Baita Bihor; RÃ©zbÃ¡nya), Nucet, Bihor, Romania	Transitional
219	Andersonite	124.0	223.0	Cameron, Cameron Mining District, Coconino Co., Arizona, USA	Transitional
219	Andersonite	150.0	348.5	PÅedboÅice Deposit, PÅedboÅice, KutnÃ¡ Hora District, Central Bohemian Region, Czech Republic	Transitional
