id,mineral,min_age,max_age,locality_longname,rarity_group
307,Aragonite,563.0,577.0,"Imiter Mine, Imiter District, Tinghir Province, DrÃ¢a-Tafilalet Region, Morocco",Ubiquitous
307,Aragonite,630.0,630.0,"Blinman Mines, Blinman, North Flinders Ranges, Flinders Ranges, South Australia, Australia",Ubiquitous
307,Aragonite,630.0,630.0,"Burra Burra Copper Mine (Burra Mine; Monster Mine), Burra, North Mt Lofty Ranges, Mt Lofty Ranges, South Australia, Australia",Ubiquitous
307,Aragonite,710.0,1655.0,"Mount Isa Mines, Mount Isa, Mount Isa City Shire, Queensland, Australia",Ubiquitous
307,Aragonite,750.0,750.0,"Berg Aukas Mine (Berg Aukus Mine), Grootfontein, Otjozondjupa Region, Namibia",Ubiquitous
307,Aragonite,900.0,900.0,"Lukuni Mine, Lubumbashi, Haut-Katanga, DR Congo",Ubiquitous
307,Aragonite,982.0,1257.0,"Chestnut Hill (College Hill; Lafayette Hill; Mount Lafayette; Paxinosa Ridge), Easton, Northampton Co., Pennsylvania, USA",Ubiquitous
307,Aragonite,1000.0,1898.0,"LÃ¥ngban, Filipstad, VÃ¤rmland County, Sweden",Ubiquitous
307,Aragonite,1007.21,1107.21,"Pikes Peak, El Paso Co., Colorado, USA",Ubiquitous
307,Aragonite,1010.0,1054.0,"Wessels Mine, Hotazel, Kalahari Manganese Field, Northern Cape, South Africa",Ubiquitous
307,Aragonite,1069.07,1521.74,"St. Francisville, Clark Co., Missouri, USA",Ubiquitous
307,Aragonite,1100.0,1180.0,"Sterling Mine, Sterling Hill, Ogdensburg, Franklin Mining District, Sussex Co., New Jersey, USA",Ubiquitous
307,Aragonite,1250.0,1250.0,"Mangula Mine, Mhangura, Makonde District (Lomagundi District), Mashonaland West, Zimbabwe",Ubiquitous
307,Aragonite,1325.0,1412.0,"Mountain Pass Mine (Mountain Pass Deposit; Mountain Pass Mine And Mill; Bastnaesite Deposit; BastnÃ¤site Deposit; Mountain Pass Carbonatite), Mountain Pass, Mountain Pass District, Clark Mts (Clark Mountain Range), San Bernardino Co., California, USA",Ubiquitous
307,Aragonite,1449.975,1450.025,"Eldorado Mts, Clark Co., Nevada, USA",Ubiquitous
307,Aragonite,1449.975,1450.025,"Newberry Mts, Clark Co., Nevada, USA",Ubiquitous
307,Aragonite,1600.0,1703.0,"Kintore Opencut, Broken Hill South Mine (BHS Mine; South Mine), Broken Hill, Broken Hill District, Yancowinna Co., New South Wales, Australia",Ubiquitous
307,Aragonite,1700.0,1400.0,"Stevenson-Bennett Mine (Stephenson-Bennett Mine), Organ District, Organ Mts, DoÃ±a Ana Co., New Mexico, USA",Ubiquitous
307,Aragonite,1756.2,1761.3,"Volodarsk-Volynskii (Volodars'k-Volyns'kyy; Wolodarsk-Wolynskii), Zhytomyr Oblast, Ukraine",Ubiquitous
307,Aragonite,1787.0,1795.0,"Iron Monarch Open Cut, Iron Knob, Middleback Range, Eyre Peninsula, South Australia, Australia",Ubiquitous
307,Aragonite,1820.0,1820.0,"Flambeau Mine, Ladysmith, Ladysmith-Rhinelander Metavolcanic Complex, Rusk Co., Wisconsin, USA",Ubiquitous
307,Aragonite,1825.0,1825.0,"Harstigen Mine, Pajsberg, Persberg Ore District, Filipstad, VÃ¤rmland County, Sweden",Ubiquitous
307,Aragonite,1993.0,2060.0,"Palabora Mine (Foscor Open Pit; PMC Mine), Loolekop, Phalaborwa, Limpopo, South Africa",Ubiquitous
307,Aragonite,2200.0,2200.0,"Kiruna Town, Kiruna, Norrbotten County, Sweden",Ubiquitous
307,Aragonite,2206.1,2223.0,"O'Brien Mine, Coleman Township, Cobalt Area, Cobalt-Gowganda Region, Timiskaming District, Ontario, Canada",Ubiquitous
422,Aurichalcite,519.0,541.0,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Oshikoto Region, Namibia",Ubiquitous
422,Aurichalcite,540.0,540.0,"Yanga Koubanza (Yanga Koubenza) Deposit, Niari Department, Republic Of Congo (Brazzaville)",Ubiquitous
422,Aurichalcite,735.0,765.0,"Kabwe Mine (Broken Hill Mine), Kabwe (Broken Hill), Kabwe, Central Province, Zambia",Ubiquitous
422,Aurichalcite,746.4,757.4,"Skorpion Mine, Rosh Pinah, Oranjemund, Karas Region, Namibia",Ubiquitous
422,Aurichalcite,987.0,1266.0,"Andover Iron Mine, Andover Township, Sussex Co., New Jersey, USA",Ubiquitous
422,Aurichalcite,1050.0,1110.0,"Reymert Mine (Denoon Property; Devoux Property; Asia Claim; Australia Claim; America Claim; Africa Claim; Europe Claim; Alaska Shaft; Great Pacific), Reymert Canyon, Superior Area, Mineral Mountain District, Pinal Co., Arizona, USA",Ubiquitous
422,Aurichalcite,1100.0,1180.0,"Sterling Mine, Sterling Hill, Ogdensburg, Franklin Mining District, Sussex Co., New Jersey, USA",Ubiquitous
422,Aurichalcite,1210.0,1590.0,"Vergenoeg Mine, Pretoria District (Tshwane District), Gauteng, South Africa",Ubiquitous
422,Aurichalcite,1500.0,1500.0,"Mindouli, Mindouli District, Pool Department, Republic Of Congo (Brazzaville)",Ubiquitous
422,Aurichalcite,1580.0,1710.0,"Tin Mountain Mine, Fourmile, Custer District, Custer Co., South Dakota, USA",Ubiquitous
422,Aurichalcite,1600.0,1703.0,"Kintore Opencut, Broken Hill South Mine (BHS Mine; South Mine), Broken Hill, Broken Hill District, Yancowinna Co., New South Wales, Australia",Ubiquitous
422,Aurichalcite,1700.0,1400.0,"Stevenson-Bennett Mine (Stephenson-Bennett Mine), Organ District, Organ Mts, DoÃ±a Ana Co., New Mexico, USA",Ubiquitous
422,Aurichalcite,1787.0,1795.0,"Iron Monarch Open Cut, Iron Knob, Middleback Range, Eyre Peninsula, South Australia, Australia",Ubiquitous
422,Aurichalcite,1820.0,1820.0,"Flambeau Mine, Ladysmith, Ladysmith-Rhinelander Metavolcanic Complex, Rusk Co., Wisconsin, USA",Ubiquitous
