name,imayear,discovery_year,yearrruff,locality_counts,rarity_group
Černýite,,,1976.0,10.0,Transitional
Cerromojonite,,,2018.0,1.0,Endemic
Ceruleite,,,1900.0,23.0,Transitional
Cerussite,,,1845.0,5645.0,Ubiquitous
Cervandonite-(Ce),,,1986.0,6.0,Transitional
Cervantite,,1850.0,1850.0,381.0,Ubiquitous
Cervelleite,1986.0,1986.0,1986.0,57.0,Transitional
Cesanite,,1981.0,1980.0,4.0,Generally Rare
Césarferreiraite,2013.0,,2012.0,2.0,Generally Rare
Cesàrolite,,1920.0,1920.0,38.0,Transitional
Cesbronite,,1974.0,1974.0,3.0,Generally Rare
Cesiodymite,,,2016.0,1.0,Endemic
Cesiokenopyrochlore,2013.0,,2017.0,1.0,Endemic
Cesplumtantite,,1986.0,1985.0,1.0,Endemic
Cetineite,1986.0,1986.0,1986.0,7.0,Transitional
Chabazite-Ca,,,1792.0,370.0,Ubiquitous
Chabazite-K,,,1976.0,44.0,Transitional
Chabazite-Mg,,,2009.0,2.0,Generally Rare
Chabazite-Na,,,1997.0,80.0,Ubiquitous
Chabazite-Sr,,,1999.0,8.0,Transitional
Chabournéite,1976.0,,1976.0,5.0,Transitional
Chadwickite,,,1997.0,4.0,Generally Rare
Chaidamuite,1985.0,,1985.0,2.0,Generally Rare
Chalcanthite,,1853.0,0.0,1039.0,Ubiquitous
Chalcoalumite,,1925.0,1925.0,110.0,Ubiquitous
Chalcocite,,,0.0,6332.0,Ubiquitous
Chalcocyanite,,1868.0,1873.0,18.0,Transitional
Chalcomenite,,1881.0,1881.0,48.0,Transitional
Chalconatronite,,1955.0,1955.0,26.0,Transitional
Chalcophanite,,1875.0,1875.0,223.0,Ubiquitous
Chalcophyllite,,1841.0,1841.0,242.0,Ubiquitous
Chalcopyrite,,1725.0,1725.0,30131.0,Ubiquitous
Chalcosiderite,,1814.0,1814.0,86.0,Ubiquitous
Chalcostibite,,1835.0,1847.0,206.0,Ubiquitous
Chalcothallite,,1978.0,1966.0,4.0,Generally Rare
Challacolloite,2005.0,,2004.0,10.0,Transitional
Chambersite,,1962.0,1962.0,12.0,Transitional
Chaméanite,1980.0,,1980.0,5.0,Transitional
Chamosite,,1820.0,1820.0,689.0,Ubiquitous
