mineral,max_age,counts
Calcite,32.4,1
Malachite,32.8,1
Calcite,33.0,2
Siderite,33.0,1
Azurite,33.0,2
Dolomite,33.0,1
Malachite,33.0,2
Rhodochrosite,33.0,1
Dolomite,33.1,1
Malachite,33.2,1
Malachite,33.9,2
Azurite,33.9,1
Calcite,33.9,2
Aragonite,34.0,1
Smithsonite,34.0,1
Azurite,34.0,1
Calcite,34.0,1
Malachite,34.0,1
Malachite,34.1,1
Calcite,34.1,1
Azurite,34.1,1
Cerussite,35.0,2
Ankerite,35.0,2
Siderite,35.0,1
Dolomite,35.0,2
Azurite,35.0,2
Calcite,35.0,2
Malachite,35.0,3
Aragonite,35.0,1
Calcite,35.02,1
Ankerite,35.02,1
Siderite,35.02,1
Dolomite,35.07,1
Calcite,35.07,1
Smithsonite,35.07,1
Cerussite,35.07,1
Malachite,35.1,1
Malachite,35.12,1
Smithsonite,35.2,1
Malachite,35.5,1
Calcite,35.5,1
Dolomite,35.53,1
Cerussite,35.53,1
Malachite,35.53,1
Calcite,35.53,1
Calcite,35.6,1
Siderite,35.7,1
Malachite,35.7,1
Aragonite,35.7,1
Dolomite,35.7,1
Calcite,35.7,3
Malachite,35.78,1
Azurite,36.0,2
Calcite,36.0,4
Dolomite,36.0,1
Calcite,36.3,1
Malachite,36.3,1
Calcite,36.4,1
Dolomite,36.4,1
Ankerite,36.4,1
Malachite,36.4,1
Malachite,36.5,1
Malachite,37.2,1
Azurite,37.2,1
Malachite,37.3,1
Azurite,37.3,1
Calcite,37.5,1
Malachite,37.7,1
Calcite,37.8,1
Aragonite,38.0,2
Azurite,38.0,3
Cerussite,38.0,1
Calcite,38.0,9
Dolomite,38.0,4
Malachite,38.0,5
Malachite,38.2,1
Azurite,38.4,1
Malachite,38.4,1
Smithsonite,38.5,1
Cerussite,38.5,1
Malachite,38.5,1
Aragonite,39.0,1
Smithsonite,39.0,1
Azurite,39.0,4
Cerussite,39.0,3
Dolomite,39.0,1
Calcite,39.0,2
Ankerite,39.0,1
Malachite,39.0,4
Rhodochrosite,39.0,1
Siderite,39.0,2
Calcite,39.11,1
Calcite,39.42,1
Cerussite,39.42,1
Malachite,39.6,1
Cerussite,39.6,1
Smithsonite,39.6,1
Calcite,39.6,1
Calcite,39.7,1
Rhodochrosite,39.7,1
Siderite,39.7,1
Dolomite,39.7,1
Cerussite,40.0,1
Ankerite,40.0,1
Malachite,40.0,2
Calcite,40.0,6
Azurite,40.0,1
Calcite,40.3,1
Cerussite,40.3,1
Azurite,41.6,1
Malachite,41.6,1
Calcite,41.8,1
Malachite,42.0,1
Calcite,42.0,2
Azurite,42.0,1
Azurite,43.0,2
Malachite,43.0,2
Calcite,43.0,2
Calcite,44.0,1
Malachite,44.0,1
Calcite,44.7,1
Malachite,45.0,5
Calcite,45.0,3
Azurite,45.0,4
Cerussite,45.2,1
Calcite,45.2,1
Rhodochrosite,46.0,1
Calcite,47.0,1
Siderite,47.0,1
Dolomite,47.5,1
Dolomite,47.8,1
Smithsonite,47.8,1
Smithsonite,48.0,1
Calcite,48.0,6
Cerussite,48.0,1
Malachite,48.0,1
Azurite,48.0,1
Ankerite,48.0,1
Smithsonite,48.8,1
Cerussite,48.8,1
Malachite,48.8,1
Azurite,48.8,1
Calcite,49.0,1
Malachite,49.0,1
Malachite,49.19,1
Cerussite,50.0,2
Malachite,50.0,5
Azurite,50.0,1
Dolomite,50.0,2
Smithsonite,50.0,1
Calcite,50.0,4
Siderite,50.0,3
Rhodochrosite,50.2,1
Siderite,50.5,1
Calcite,50.5,1
Calcite,50.6,1
Malachite,51.0,1
Calcite,51.0,1
Azurite,51.0,1
Siderite,51.0,1
Rhodochrosite,51.0,1
Calcite,51.5,1
Dolomite,51.6,1
Calcite,51.7,1
Dolomite,51.7,1
Calcite,51.9,1
Calcite,52.0,1
Malachite,52.0,2
Azurite,52.0,1
Malachite,52.7,1
Azurite,52.7,1
Dolomite,52.7,1
Dolomite,53.0,1
Calcite,53.0,2
Siderite,53.0,2
Malachite,53.0,2
Azurite,53.0,1
Malachite,53.8,1
Cerussite,53.84,1
Azurite,53.84,1
Malachite,53.84,1
Malachite,53.91,1
Calcite,54.0,1
Malachite,55.0,1
Calcite,55.0,2
Smithsonite,55.8,1
Malachite,55.8,2
Cerussite,55.8,1
Azurite,55.8,2
Siderite,55.8,1
Calcite,56.0,6
Dolomite,56.0,3
Cerussite,56.0,1
Azurite,56.0,3
Smithsonite,56.0,1
Malachite,56.0,5
Siderite,56.0,2
Ankerite,56.0,2
Calcite,56.6,1
Azurite,57.0,2
Malachite,57.0,2
Calcite,57.2,1
Rhodochrosite,57.2,1
Siderite,57.2,1
Dolomite,57.2,1
Siderite,57.7,1
Calcite,57.7,1
Malachite,57.7,1
Dolomite,57.7,1
Azurite,57.7,1
Ankerite,57.7,1
Aragonite,58.0,1
Cerussite,58.0,3
Siderite,58.0,3
Malachite,58.0,5
Azurite,58.0,4
Calcite,58.0,5
Dolomite,58.0,3
Rhodochrosite,58.0,1
Malachite,58.4,1
Malachite,58.8,1
Calcite,58.8,1
Malachite,58.9,2
Azurite,58.9,1
Azurite,59.0,1
Malachite,59.0,1
Calcite,59.0,1
Calcite,59.2,1
Cerussite,59.2,1
Dolomite,59.2,1
Siderite,59.6,1
Cerussite,59.7,1
Calcite,60.0,4
Azurite,60.0,1
Smithsonite,60.0,1
Siderite,60.0,1
Aragonite,60.0,1
Dolomite,60.0,3
Ankerite,60.0,1
Malachite,60.0,3
Calcite,60.7,1
Siderite,60.7,1
Malachite,61.0,3
Dolomite,61.0,1
Rhodochrosite,61.0,1
Azurite,61.0,2
Calcite,61.0,2
Siderite,61.0,1
Aragonite,61.0,1
Azurite,61.6,1
Malachite,61.6,1
Ankerite,62.0,1
Dolomite,62.0,1
Siderite,62.0,1
Malachite,62.0,1
Azurite,62.0,1
Calcite,62.2,1
Malachite,62.5,1
Rhodochrosite,62.5,1
Rhodochrosite,63.0,1
Ankerite,63.0,1
Dolomite,63.0,1
Malachite,63.0,2
Calcite,63.0,2
Azurite,63.0,1
Siderite,63.0,1
Ankerite,63.1,1
Azurite,63.38,1
Smithsonite,63.38,1
Dolomite,63.38,1
Siderite,63.38,1
Calcite,63.38,1
Malachite,63.38,1
Ankerite,63.38,1
Malachite,63.4,1
Azurite,63.4,1
Azurite,63.5,2
Malachite,63.5,1
Aragonite,63.5,1
Calcite,63.5,3
Rhodochrosite,63.8,1
Cerussite,64.0,1
Dolomite,64.0,3
Calcite,64.0,2
Rhodochrosite,64.0,1
Siderite,64.0,1
Azurite,64.0,3
Smithsonite,64.0,2
Malachite,64.0,3
Malachite,64.4,1
Azurite,64.4,1
Malachite,64.9,1
Dolomite,65.0,2
Azurite,65.0,4
Malachite,65.0,5
Siderite,65.0,2
Aragonite,65.0,1
Calcite,65.0,8
Smithsonite,65.0,2
Cerussite,65.0,1
Malachite,65.5,1
Calcite,65.7,1
Rhodochrosite,66.0,1
Calcite,66.0,8
Siderite,66.0,6
Smithsonite,66.0,3
Dolomite,66.0,5
Ankerite,66.0,3
Cerussite,66.0,6
Aragonite,66.0,2
Azurite,66.0,1
Malachite,66.0,2
Calcite,66.3,1
Calcite,67.0,1
Malachite,67.0,1
Malachite,68.0,1
Aragonite,68.0,1
Smithsonite,68.0,1
Calcite,68.65,2
Aragonite,69.0,1
Azurite,69.0,3
Malachite,69.0,3
Siderite,69.0,2
Calcite,69.0,2
Azurite,70.0,2
Ankerite,70.0,2
Dolomite,70.0,4
