mineral,max_age,counts
Smithsonite,1710.0,1
Azurite,1710.0,1
Malachite,1710.0,1
Calcite,1730.0,1
Azurite,1739.0,1
Malachite,1739.0,1
Smithsonite,1739.0,1
Siderite,1739.0,1
Cerussite,1739.0,1
Calcite,1739.0,1
Rhodochrosite,1739.0,1
Dolomite,1742.0,1
Calcite,1742.0,1
Dolomite,1747.0,1
Dolomite,1750.0,1
Calcite,1750.0,2
Malachite,1750.0,2
Rhodochrosite,1760.0,1
Siderite,1760.0,1
Calcite,1760.0,1
Calcite,1761.3,1
Siderite,1761.3,1
Aragonite,1761.3,1
Cerussite,1761.3,1
Calcite,1770.0,1
Calcite,1771.0,1
Azurite,1779.0,1
Malachite,1780.0,1
Dolomite,1780.0,1
Siderite,1783.5,1
Dolomite,1788.0,1
Cerussite,1795.0,1
Aragonite,1795.0,1
Siderite,1795.0,1
Dolomite,1795.0,1
Smithsonite,1795.0,1
Azurite,1795.0,1
Calcite,1795.0,1
Rhodochrosite,1795.0,1
Malachite,1795.0,1
Aragonite,1800.0,1
Dolomite,1800.0,8
Ankerite,1800.0,1
Smithsonite,1800.0,1
Cerussite,1800.0,2
Siderite,1800.0,3
Malachite,1800.0,5
Calcite,1800.0,7
Rhodochrosite,1800.0,1
Azurite,1800.0,3
Calcite,1805.0,1
Calcite,1806.0,1
Malachite,1806.0,1
Calcite,1809.0,1
Dolomite,1809.0,1
Siderite,1811.6,1
Azurite,1820.0,1
Siderite,1820.0,1
Ankerite,1820.0,1
Calcite,1820.0,1
Dolomite,1820.0,1
Aragonite,1820.0,1
Malachite,1820.0,1
Malachite,1824.0,2
Siderite,1824.0,3
Azurite,1824.0,1
Smithsonite,1824.0,1
Ankerite,1824.0,1
Calcite,1824.0,3
Dolomite,1824.0,3
Azurite,1825.0,1
Calcite,1825.0,1
Dolomite,1825.0,1
Cerussite,1825.0,1
Siderite,1825.0,1
Rhodochrosite,1825.0,1
Malachite,1825.0,1
Aragonite,1825.0,1
Malachite,1830.0,1
Azurite,1830.0,1
Dolomite,1830.0,2
Cerussite,1830.0,1
Calcite,1830.0,2
Calcite,1835.0,1
Rhodochrosite,1837.0,1
Dolomite,1837.0,1
Cerussite,1837.0,1
Calcite,1841.0,1
Azurite,1847.0,1
Malachite,1847.0,2
Calcite,1850.0,1
Dolomite,1850.0,1
Ankerite,1850.0,1
Siderite,1850.0,1
Aragonite,1850.0,1
Siderite,1853.0,1
Calcite,1853.0,1
Dolomite,1853.0,1
Siderite,1855.0,1
Ankerite,1855.0,1
Calcite,1855.0,1
Malachite,1855.0,1
Cerussite,1855.0,1
Calcite,1856.0,1
Siderite,1860.0,1
Ankerite,1860.0,1
Calcite,1860.0,2
Dolomite,1860.0,2
Ankerite,1861.0,1
Azurite,1873.0,1
Calcite,1873.0,1
Calcite,1879.0,1
Calcite,1885.0,1
Siderite,1885.0,1
Dolomite,1885.0,1
Siderite,1887.0,1
Azurite,1887.0,1
Dolomite,1887.0,1
Calcite,1887.0,1
Malachite,1887.0,1
Calcite,1890.0,1
Dolomite,1890.0,1
Malachite,1890.0,1
Calcite,1894.5,1
Cerussite,1898.0,1
Rhodochrosite,1898.0,1
Azurite,1898.0,1
Malachite,1898.0,1
Aragonite,1898.0,1
Azurite,1899.0,1
Ankerite,1899.0,1
Calcite,1899.0,1
Malachite,1899.0,1
Malachite,1900.0,1
Calcite,1900.0,1
Calcite,1910.0,1
Azurite,1910.0,1
Ankerite,1923.0,1
Dolomite,1923.0,2
Calcite,1923.0,2
Calcite,1924.0,1
Dolomite,1924.0,1
Malachite,1927.0,1
Calcite,1927.0,1
Calcite,1930.0,1
Dolomite,1930.0,1
Malachite,1930.0,1
Ankerite,1930.0,1
Azurite,1930.0,1
Calcite,1950.0,4
Siderite,1950.0,2
Dolomite,1950.0,2
Calcite,1959.0,1
Azurite,1960.0,1
Malachite,1960.0,1
Malachite,1976.0,1
Calcite,1976.0,1
Calcite,1977.38,1
Dolomite,1977.38,1
Calcite,1983.0,1
Dolomite,2000.0,2
Azurite,2000.0,3
Malachite,2000.0,6
Calcite,2000.0,4
Siderite,2000.0,1
Smithsonite,2004.0,1
Dolomite,2004.0,1
Calcite,2004.0,1
Calcite,2020.0,1
Dolomite,2020.0,1
Aragonite,2038.0,1
Calcite,2038.0,1
Dolomite,2038.0,1
Smithsonite,2038.0,1
Calcite,2050.0,1
Dolomite,2050.0,1
Calcite,2056.0,1
Dolomite,2058.0,1
Calcite,2058.0,1
Cerussite,2058.0,1
Cerussite,2060.0,1
Azurite,2060.0,2
Malachite,2060.0,2
Aragonite,2060.0,1
Smithsonite,2060.0,1
Dolomite,2060.0,2
Calcite,2060.0,2
Siderite,2070.0,1
Aragonite,2070.0,1
Siderite,2072.0,1
Rhodochrosite,2072.0,1
Calcite,2072.0,1
Smithsonite,2100.0,1
Rhodochrosite,2100.0,1
Dolomite,2100.0,3
Malachite,2100.0,1
Calcite,2100.0,2
Siderite,2100.0,1
Ankerite,2100.0,2
Calcite,2136.0,1
Calcite,2145.0,1
Siderite,2145.0,1
Calcite,2150.0,1
Siderite,2150.0,1
Smithsonite,2176.0,1
Dolomite,2190.0,1
Calcite,2190.0,1
Aragonite,2200.0,1
Azurite,2200.0,1
Malachite,2200.0,2
Rhodochrosite,2200.0,1
Calcite,2200.0,4
Ankerite,2200.0,1
Cerussite,2200.0,1
Dolomite,2200.0,2
Malachite,2202.0,1
Siderite,2209.0,1
Calcite,2211.0,1
Dolomite,2211.0,1
Rhodochrosite,2223.0,1
Calcite,2223.0,2
Aragonite,2223.0,1
Calcite,2240.0,1
Calcite,2400.0,1
Siderite,2400.0,1
Ankerite,2400.0,1
Calcite,2443.9,1
Ankerite,2475.0,1
Calcite,2475.0,1
Azurite,2498.0,1
Malachite,2498.0,1
Calcite,2499.0,1
